species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Pi4k2a	Pi4k2a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Ddah2	Ddah2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Rnase10	Rnase10	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Rps20	Rps20	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Tmem158	Tmem158	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Akr1c18	Akr1c18	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Sde2	Sde2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Lmo1	Lmo1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Rcan2	Rcan2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Col5a2	Col5a2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Tnfsf13b	Tnfsf13b	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Mdk	Mdk	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Ntf3	Ntf3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Trib1	Trib1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Lpl	Lpl	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Tmeff2	Tmeff2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Rap1b	Rap1b	Single-cell sequencing
