species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Wnt4	Wnt4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Myh13	Myh13	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.4	Sipa1l2	Sipa1l2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Podn	Podn	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Gm26620		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Fn3krp	Fn3krp	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Dytn	Dytn	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.19	4833423e24Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Ptgs1	Ptgs1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	6330403a02Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Urb2	Urb2	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Isl1	Isl1	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.29	Piezo2	Piezo2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Cenpv	Cenpv	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Pou4f3	Pou4f3	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Spp1	Spp1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.29	Ptprt	Ptprt	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Ccdc13	Ccdc13	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Fibcd1	Fibcd1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Arhgap28	Arhgap28	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.15	Tubb6	Tubb6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Arsj	Arsj	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Kit	Kit	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	1810011o10Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	B230369f24Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Pvrl4	Nectin4	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Sox12	Sox12	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.7	Mylk	Mylk	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Snx7	Snx7	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Heatr1	Heatr1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Tg	Tg	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Gpr88	Gpr88	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.2	Barhl1	Barhl1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.4	Cys1	Cys1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Saa2	Saa2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	H2-Eb1	H2-Eb1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.36	Hs3st3b1	Hs3st3b1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.3	Lyve1	Lyve1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.11	Synpo	Synpo	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.7	Car2	Car2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.28	Nfia	Nfia	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Fgf14	Fgf14	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.16	Arhgap27os2	Arhgap27os2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.18	Adam7	Adam7	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Crh	Crh	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.19	D630033o11Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Myh8	Myh8	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Fbp2	Fbp2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Tiparp	Tiparp	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	H19	H19	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Fam92b	Cibar2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.28	Bbox1	Bbox1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Gpc5	Gpc5	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.13	Amigo2	Amigo2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Neurod6	Neurod6	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	RBPMS		Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Crb3	Crb3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Ctxn3	Ctxn3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.19	Uts2b	Uts2b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Dcn	Dcn	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Mybpc3	Mybpc3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Map3k6	Map3k6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.7	Sez6	Sez6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	A230065h16Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.3	Shisa2	Shisa2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Npr1	Npr1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Gprc5b	Gprc5b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Spag5	Spag5	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Cd248	Cd248	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Chrdl1	Chrdl1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.20	Serpinb1b	Serpinb1b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Plxnd1	Plxnd1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	C1ql1	C1ql1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Xlr	Xlr	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.12	Adgrl2	Adgrl2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Olfml3	Olfml3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Cdh9	Cdh9	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Nr3c2	Nr3c2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	A130014a01Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Fstl4	Fstl4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Cfp	Cfp	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.29	Gpr101	Gpr101	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Ptpn22	Ptpn22	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.9	Slc7a11	Slc7a11	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.24	Cthrc1	Cthrc1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.21	Serpinb12	Serpinb12	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Gpr6	Gpr6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Grb7	Grb7	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.19	Cldn11	Cldn11	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Nhlh1	Nhlh1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	A730046j19Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.14	H2-Dmb2		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Chodl	Chodl	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.28	Lima1	Lima1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Col5a1	Col5a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Skap1	Skap1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Snx9	Snx9	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Pou4f1	Pou4f1	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Gldn	Gldn	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Cklf	Cklf	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.24	Col19a1	Col19a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Dapk2	Dapk2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.5	Elmo3	Elmo3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Dab2	Dab2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.30	Boc	Boc	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Tubb3	Tubb3	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Bace2	Bace2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Ulk4	Ulk4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.30	Lmo7	Lmo7	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.21	Nxph4	Nxph4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.15	Bend4	Bend4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Runx1	Runx1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Prss34	Prss34	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Drd5	Drd5	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.3	Fst	Fst	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.13	Col12a1	Col12a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Pde11a	Pde11a	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Kcnip2	Kcnip2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.20	Kcng1	Kcng1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	1700003f12Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Cst12	Cst12	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Scube2	Scube2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.17	Nek7	Nek7	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.1	Bco2	Bco2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Spata13	Spata13	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.15	Wnt11	Wnt11	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	S100z	S100z	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.18	Snx31	Snx31	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Htr2a	Htr2a	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Csrp3	Csrp3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Pcsk9	Pcsk9	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Ednrb	Ednrb	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Tff3	Tff3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.38	Slc35f3	Slc35f3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Palmd	Palmd	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Lingo4	Lingo4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Ifitm10	Ifitm10	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Abcc8	Abcc8	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Irf2	Irf2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.16	Adamts2	Adamts2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.15	Tmprss7	Tmprss7	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Slc4a4	Slc4a4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.10	Pkib	Pkib	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.29	Nts	Nts	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.38	Atp6v1c2	Atp6v1c2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.14	Pcgf5	Pcgf5	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Rasgrp1	Rasgrp1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.30	Sst	Sst	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Zic1	Zic1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Chrm1	Chrm1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.3	Traf3ip3	Traf3ip3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.24	Chia1	Chia1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.36	Edn1	Edn1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Rhbdl3	Rhbdl3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Slc7a3	Slc7a3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Hap1	Hap1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Rbks	Rbks	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.4	1700121l03Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.4	Tusc5	Trarg1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Ska3	Ska3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.14	H2-Dmb1		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.18	Hmcn1	Hmcn1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Pappa	Pappa	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.11	Armc2	Armc2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Col13a1	Col13a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Spon1	Spon1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Sat1	Sat1	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Thy1	Thy1	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Fancg	Fancg	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Prr33	Prr33	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Robo1	Robo1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Ppl	Ppl	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Gad2	Gad2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Nmi	Nmi	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.3	Mc4r	Mc4r	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Etnppl	Etnppl	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Pou4f2	Pou4f2	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.16	Rbm20	Rbm20	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Col18a1	Col18a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Angpt1	Angpt1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Rnase12	Rnase12	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.21	Arhgap22	Arhgap22	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Itgb5	Itgb5	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.19	Anxa11	Anxa11	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Mmp17	Mmp17	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.24	Runx2	Runx2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.7	Gpr83	Gpr83	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.35	Prokr1	Prokr1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Slitrk1	Slitrk1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Ckm	Ckm	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Tnxb	Tnxb	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Rerg	Rerg	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Creb5	Creb5	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Foxo1	Foxo1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.9	Pip5k1b	Pip5k1b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Gna14	Gna14	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.16	Lrrc32	Lrrc32	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Lama3	Lama3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Shisa6	Shisa6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Tmem255b	Tmem255b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Cfap206	Cfap206	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.29	Aldh1l1	Aldh1l1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Myl4	Myl4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Slc35f2	Slc35f2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Lrat	Lrat	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Aldh6a1	Aldh6a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Adgrg6	Adgrg6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.29	Scn7a	Scn7a	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.15	Cmbl	Cmbl	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.16	Col23a1	Col23a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Btc	Btc	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Stra6	Stra6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.16	Rgs16	Rgs16	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.11	9530077C05Rik	9530077C05Rik	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.30	Gfra3	Gfra3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Bmpr1b	Bmpr1b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.29	Fam19a4	Tafa4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.40	Clec10a	Clec10a	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Col5a2	Col5a2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Ccer2	Ccer2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Mlip	Mlip	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Adgrg2	Adgrg2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Mkrn2os	Mkrn2os	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Tgfb2	Tgfb2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Trhr	Trhr	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.18	Rrad	Rrad	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.21	Gpx6	Gpx6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Syt6	Syt6	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.27	Col28a1	Col28a1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Mapk4	Mapk4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Trappc3l	Trappc3l	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Steap1	Steap1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.21	Zic2	Zic2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.14	Nr0b1	Nr0b1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Alg10b	Alg10b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Fam129a	Niban1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.37	Onecut3	Onecut3	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Ttc23	Ttc23	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.4	Mmp14	Mmp14	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.19	Gprc5c	Gprc5c	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Cyp1b1	Cyp1b1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Klrg2	Klrg2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Xylt1	Xylt1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.17	Aga	Aga	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.25	Gsta4	Gsta4	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Rph3al	Rph3al	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Chst2	Chst2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.8	Gpr39	Gpr39	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.11	Hcrtr2	Hcrtr2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	Hr	Hr	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.19	Lmo2	Lmo2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.6	Cav1	Cav1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.11	Prps2	Prps2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.31	Oxtr	Oxtr	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Baz1a	Baz1a	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.34	6430573f11Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	2810030d12Rik		Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Ankrd34c	Ankrd34c	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.39	Spem1	Spem1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.26	Eya2	Eya2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.32	Net1	Net1	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.30	Thbd	Thbd	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.18	Pabpc1l	Pabpc1l	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.2	Lhx9	Lhx9	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.11	Stxbp6	Stxbp6	Single-cell sequencing
Mouse	Eye	Retina	Retinal ganglion cell	Isl2	Isl2	Experiment
Mouse	Eye	Retina	Rheaume et al.Nat Commun.21	Agmat	Agmat	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Chrm5	Chrm5	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.23	Tcf7l2	Tcf7l2	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.22	Slc16a9	Slc16a9	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.33	Guca1b	Guca1b	Single-cell sequencing
Mouse	Eye	Retina	Rheaume et al.Nat Commun.4	4931429i11Rik		Single-cell sequencing
